obs_id,location,observed_on,tmin_c,tmax_c,precip_mm,humidity_pct,wind_kph,frost_flag,source
1,,2025-05-01,19.9,34.1,0.0,20,16.1,False,VisualCrossing
2,,2025-05-02,21.5,33.8,0.0,19,19.7,False,VisualCrossing
3,,2025-05-03,21.0,35.9,0.0,20,30.8,False,VisualCrossing
4,,2025-05-04,19.2,27.7,0.078,30,36.2,False,VisualCrossing
5,,2025-05-05,14.9,22.7,0.025,47,28.7,False,VisualCrossing
6,,2025-05-06,17.1,24.2,0.006,52,19.9,False,VisualCrossing
7,,2025-05-07,18.2,29.2,0.0,40,21.9,False,VisualCrossing
8,,2025-05-08,19.8,34.9,0.0,30,18.0,False,VisualCrossing
9,,2025-05-09,23.2,39.2,0.0,23,20.5,False,VisualCrossing
10,,2025-05-10,25.8,38.7,0.0,20,32.4,False,VisualCrossing
11,,2025-05-11,25.8,39.2,0.0,18,18.4,False,VisualCrossing
12,,2025-05-12,26.6,37.7,0.0,19,29.1,False,VisualCrossing
13,,2025-05-13,24.9,31.0,0.0,17,31.8,False,VisualCrossing
14,,2025-05-14,19.2,27.8,0.0,18,27.0,False,VisualCrossing
15,,2025-05-15,18.2,30.6,0.0,15,23.4,False,VisualCrossing
16,,2025-05-16,19.8,33.3,0.0,13,14.2,False,VisualCrossing
17,,2025-05-17,21.6,34.2,0.0,15,31.1,False,VisualCrossing
18,,2025-05-18,19.3,29.9,0.0,24,32.3,False,VisualCrossing
19,,2025-05-19,21.0,33.3,0.0,16,35.4,False,VisualCrossing
20,,2025-05-20,21.2,36.1,0.0,11,21.9,False,VisualCrossing
21,,2025-05-21,22.1,37.8,0.0,11,14.7,False,VisualCrossing
22,,2025-05-22,23.7,39.9,0.0,10,25.1,False,VisualCrossing
23,,2025-05-23,23.8,38.7,0.0,10,17.8,False,VisualCrossing
24,,2025-05-24,24.3,36.6,0.0,11,20.2,False,VisualCrossing
25,,2025-05-25,23.2,35.5,0.0,13,17.7,False,VisualCrossing
26,,2025-05-26,23.2,37.1,0.0,13,23.7,False,VisualCrossing
27,,2025-05-27,23.7,37.7,0.0,10,19.5,False,VisualCrossing
