obs_id,location,observed_on,tmin_c,tmax_c,precip_mm,humidity_pct,wind_kph,frost_flag,source
1,,2025-05-01,11.4,21.2,7.585,79,37.9,False,VisualCrossing
2,,2025-05-02,8.2,15.6,0.243,74,18.8,False,VisualCrossing
3,,2025-05-03,7.7,11.8,0.0,66,31.7,False,VisualCrossing
4,,2025-05-04,8.1,13.7,2.519,67,30.9,False,VisualCrossing
5,,2025-05-05,8.5,15.8,1.055,78,30.7,False,VisualCrossing
6,,2025-05-06,7.9,24.8,0.0,61,25.6,False,VisualCrossing
7,,2025-05-07,9.5,22.2,0.0,60,29.4,False,VisualCrossing
8,,2025-05-08,7.6,14.7,0.0,59,36.6,False,VisualCrossing
9,,2025-05-09,4.2,18.0,0.0,43,16.1,False,VisualCrossing
10,,2025-05-10,9.7,22.8,0.0,38,38.5,False,VisualCrossing
11,,2025-05-11,7.5,21.9,0.0,51,17.9,False,VisualCrossing
12,,2025-05-12,11.5,26.2,0.231,51,18.3,False,VisualCrossing
13,,2025-05-13,16.6,25.4,0.014,71,22.0,False,VisualCrossing
14,,2025-05-14,15.9,25.7,0.0,72,21.2,False,VisualCrossing
15,,2025-05-15,16.4,34.8,1.965,60,42.6,False,VisualCrossing
16,,2025-05-16,18.5,30.9,0.0,38,52.5,False,VisualCrossing
17,,2025-05-17,12.7,21.2,0.0,49,37.3,False,VisualCrossing
18,,2025-05-18,9.0,16.7,0.0,63,20.3,False,VisualCrossing
19,,2025-05-19,7.5,13.5,0.0,70,26.4,False,VisualCrossing
20,,2025-05-20,9.8,14.1,13.577,82,39.2,False,VisualCrossing
21,,2025-05-21,9.8,11.9,1.646,89,20.0,False,VisualCrossing
22,,2025-05-22,9.2,13.2,0.0,70,21.3,False,VisualCrossing
23,,2025-05-23,7.0,16.5,0.0,63,21.8,False,VisualCrossing
24,,2025-05-24,8.4,17.8,0.0,59,21.4,False,VisualCrossing
25,,2025-05-25,11.6,18.8,1.133,57,20.6,False,VisualCrossing
26,,2025-05-26,8.4,19.1,0.0,57,26.4,False,VisualCrossing
27,,2025-05-27,12.6,19.3,0.0,55,21.3,False,VisualCrossing
28,,2025-05-28,13.2,16.9,10.077,74,17.6,False,VisualCrossing
29,,2025-05-29,12.1,21.6,0.0,66,16.8,False,VisualCrossing
30,,2025-05-30,12.6,23.1,0.0,55,25.9,False,VisualCrossing
31,,2025-05-31,11.5,18.2,0.0,49,23.2,False,VisualCrossing
32,,2025-06-01,9.0,18.7,0.0,42,18.7,False,VisualCrossing
33,,2025-06-02,10.5,29.2,0.0,34,21.2,False,VisualCrossing
34,,2025-06-03,20.9,31.4,0.613,47,44.5,False,VisualCrossing
35,,2025-06-04,14.9,24.3,19.369,82,24.4,False,VisualCrossing
36,,2025-06-05,13.1,21.8,0.0,69,28.2,False,VisualCrossing
37,,2025-06-06,16.0,24.9,0.0,48,21.4,False,VisualCrossing
38,,2025-06-07,14.5,24.8,0.0,56,21.6,False,VisualCrossing
39,,2025-06-08,16.0,27.3,13.652,69,29.7,False,VisualCrossing
40,,2025-06-09,13.7,22.7,0.0,61,31.2,False,VisualCrossing
41,,2025-06-10,13.4,26.0,0.0,53,28.2,False,VisualCrossing
42,,2025-06-11,18.3,33.0,0.0,48,30.0,False,VisualCrossing
43,,2025-06-12,18.1,27.0,0.0,57,21.2,False,VisualCrossing
44,,2025-06-13,17.4,21.8,1.276,76,17.7,False,VisualCrossing
45,,2025-06-14,16.9,23.8,0.0,73,22.1,False,VisualCrossing
46,,2025-06-15,15.3,27.0,0.0,61,22.4,False,VisualCrossing
47,,2025-06-16,17.6,29.6,0.0,56,20.0,False,VisualCrossing
48,,2025-06-17,22.6,33.1,0.0,59,28.2,False,VisualCrossing
49,,2025-06-18,19.9,27.6,41.402,84,20.9,False,VisualCrossing
50,,2025-06-19,18.9,28.3,13.162,67,23.4,False,VisualCrossing
51,,2025-06-20,21.5,29.9,0.0,61,29.4,False,VisualCrossing
52,,2025-06-21,25.2,34.9,0.0,61,45.9,False,VisualCrossing
53,,2025-06-22,26.7,34.9,0.0,61,36.3,False,VisualCrossing
54,,2025-06-23,26.2,34.8,0.0,58,31.5,False,VisualCrossing
55,,2025-06-24,24.4,34.1,1.043,61,25.1,False,VisualCrossing
56,,2025-06-25,22.1,30.8,10.812,78,17.8,False,VisualCrossing
57,,2025-06-26,25.4,34.8,0.298,62,21.2,False,VisualCrossing
58,,2025-06-27,25.2,31.4,0.014,61,29.0,False,VisualCrossing
59,,2025-06-28,21.3,29.6,0.0,64,17.4,False,VisualCrossing
60,,2025-06-29,23.9,33.2,1.172,62,24.6,False,VisualCrossing
61,,2025-06-30,23.7,32.7,0.0,61,23.9,False,VisualCrossing
62,,2025-07-01,22.0,31.0,0.0,53,19.9,False,VisualCrossing
63,,2025-07-02,21.6,32.3,0.0,48,22.0,False,VisualCrossing
64,,2025-07-03,22.7,32.7,0.0,52,18.9,False,VisualCrossing
65,,2025-07-04,24.2,33.2,2.255,59,22.3,False,VisualCrossing
66,,2025-07-05,24.9,34.2,0.0,50,32.0,False,VisualCrossing
67,,2025-07-06,21.3,29.6,13.72,71,24.8,False,VisualCrossing
68,,2025-07-07,19.2,27.7,0.0,64,22.8,False,VisualCrossing
69,,2025-07-08,21.1,28.6,1.529,65,19.0,False,VisualCrossing
70,,2025-07-09,21.5,28.1,0.054,78,19.9,False,VisualCrossing
