obs_id,location,observed_on,tmin_c,tmax_c,precip_mm,humidity_pct,wind_kph,frost_flag,source
1,,2025-05-01,11.2,20.6,0.0,36,18.9,False,VisualCrossing
2,,2025-05-02,13.7,28.6,0.0,63,19.3,False,VisualCrossing
3,,2025-05-03,17.9,29.4,0.344,57,29.4,False,VisualCrossing
4,,2025-05-04,16.0,20.9,4.044,83,16.9,False,VisualCrossing
5,,2025-05-05,14.9,16.4,17.441,91,17.4,False,VisualCrossing
6,,2025-05-06,14.0,17.9,7.912,89,22.3,False,VisualCrossing
7,,2025-05-07,13.5,23.5,0.37,58,14.5,False,VisualCrossing
8,,2025-05-08,15.8,24.7,0.0,59,23.7,False,VisualCrossing
9,,2025-05-09,12.2,16.0,12.382,86,22.1,False,VisualCrossing
10,,2025-05-10,10.4,22.7,0.0,48,25.9,False,VisualCrossing
11,,2025-05-11,14.9,25.2,0.0,32,19.7,False,VisualCrossing
12,,2025-05-12,13.4,22.3,0.0,40,12.5,False,VisualCrossing
13,,2025-05-13,15.0,20.1,1.331,76,17.4,False,VisualCrossing
14,,2025-05-14,14.1,16.9,26.089,90,18.2,False,VisualCrossing
15,,2025-05-15,15.3,20.2,0.067,87,12.5,False,VisualCrossing
16,,2025-05-16,16.8,21.9,3.111,86,12.4,False,VisualCrossing
17,,2025-05-17,17.4,27.7,0.0,67,25.2,False,VisualCrossing
18,,2025-05-18,16.6,23.1,0.0,48,30.0,False,VisualCrossing
19,,2025-05-19,13.1,20.8,0.0,45,36.0,False,VisualCrossing
20,,2025-05-20,9.6,19.1,0.0,49,23.8,False,VisualCrossing
21,,2025-05-21,9.8,15.0,1.692,72,26.5,False,VisualCrossing
22,,2025-05-22,9.1,11.0,22.037,87,27.2,False,VisualCrossing
23,,2025-05-23,8.7,16.7,4.951,78,20.5,False,VisualCrossing
24,,2025-05-24,10.0,17.7,0.147,61,30.0,False,VisualCrossing
25,,2025-05-25,11.5,18.8,0.0,54,27.0,False,VisualCrossing
26,,2025-05-26,11.9,22.5,0.0,51,16.0,False,VisualCrossing
27,,2025-05-27,14.0,23.3,0.0,52,12.7,False,VisualCrossing
28,,2025-05-28,12.1,18.6,10.703,63,24.4,False,VisualCrossing
29,,2025-05-29,12.5,19.4,1.516,86,25.5,False,VisualCrossing
30,,2025-05-30,16.8,23.5,0.0,78,20.8,False,VisualCrossing
31,,2025-05-31,13.0,20.0,11.508,68,29.6,False,VisualCrossing
32,,2025-06-01,10.7,18.7,0.0,49,28.3,False,VisualCrossing
33,,2025-06-02,12.0,21.7,0.0,49,11.7,False,VisualCrossing
34,,2025-06-03,14.0,25.9,0.0,42,19.6,False,VisualCrossing
35,,2025-06-04,16.8,27.9,0.0,51,21.6,False,VisualCrossing
36,,2025-06-05,21.1,30.5,0.0,57,16.6,False,VisualCrossing
37,,2025-06-06,22.3,28.5,0.343,62,22.0,False,VisualCrossing
38,,2025-06-07,19.8,24.4,13.946,78,15.5,False,VisualCrossing
39,,2025-06-08,17.4,23.9,0.838,72,20.7,False,VisualCrossing
40,,2025-06-09,16.7,18.5,0.725,82,14.7,False,VisualCrossing
41,,2025-06-10,17.0,23.5,10.24,84,14.6,False,VisualCrossing
42,,2025-06-11,18.5,27.5,0.0,53,24.1,False,VisualCrossing
43,,2025-06-12,21.7,30.7,0.0,47,16.3,False,VisualCrossing
44,,2025-06-13,20.6,25.1,0.0,44,14.8,False,VisualCrossing
45,,2025-06-14,15.8,20.6,5.302,78,22.1,False,VisualCrossing
46,,2025-06-15,15.1,17.7,1.485,80,14.5,False,VisualCrossing
47,,2025-06-16,15.5,20.5,0.793,81,18.4,False,VisualCrossing
48,,2025-06-17,16.8,19.6,2.017,91,14.0,False,VisualCrossing
49,,2025-06-18,18.3,28.8,0.945,82,11.7,False,VisualCrossing
50,,2025-06-19,21.8,31.0,15.229,79,17.6,False,VisualCrossing
51,,2025-06-20,19.9,28.1,0.574,54,26.5,False,VisualCrossing
52,,2025-06-21,22.6,30.7,0.0,51,20.9,False,VisualCrossing
53,,2025-06-22,22.4,31.2,2.181,66,21.5,False,VisualCrossing
54,,2025-06-23,26.7,35.2,0.0,64,21.3,False,VisualCrossing
55,,2025-06-24,27.9,36.8,0.0,48,21.3,False,VisualCrossing
56,,2025-06-25,28.1,35.5,0.0,48,14.2,False,VisualCrossing
57,,2025-06-26,19.6,29.9,0.08,62,29.0,False,VisualCrossing
58,,2025-06-27,17.4,22.2,1.579,57,21.0,False,VisualCrossing
