obs_id,location,observed_on,tmin_c,tmax_c,precip_mm,humidity_pct,wind_kph,frost_flag,source
1,,2025-05-01,11.6,26.0,0.0,46,20.7,False,VisualCrossing
2,,2025-05-02,15.4,29.7,0.0,61,25.9,False,VisualCrossing
3,,2025-05-03,17.8,29.1,2.55,64,34.0,False,VisualCrossing
4,,2025-05-04,17.8,22.0,3.316,84,20.1,False,VisualCrossing
5,,2025-05-05,16.5,21.7,0.496,89,19.3,False,VisualCrossing
6,,2025-05-06,16.3,26.6,1.714,72,35.4,False,VisualCrossing
7,,2025-05-07,15.4,23.3,0.0,53,20.5,False,VisualCrossing
8,,2025-05-08,14.5,27.0,0.0,56,22.2,False,VisualCrossing
9,,2025-05-09,11.3,18.3,5.365,82,26.4,False,VisualCrossing
10,,2025-05-10,9.8,23.2,0.0,47,29.0,False,VisualCrossing
11,,2025-05-11,12.9,27.0,0.0,42,17.6,False,VisualCrossing
12,,2025-05-12,12.6,27.8,0.0,52,15.0,False,VisualCrossing
13,,2025-05-13,16.7,21.3,7.608,88,23.7,False,VisualCrossing
14,,2025-05-14,15.2,18.8,29.493,94,28.7,False,VisualCrossing
15,,2025-05-15,17.1,24.2,2.051,87,12.7,False,VisualCrossing
16,,2025-05-16,16.4,24.3,32.558,90,16.3,False,VisualCrossing
17,,2025-05-17,17.0,29.7,0.078,68,32.0,False,VisualCrossing
18,,2025-05-18,17.8,24.7,0.0,48,34.9,False,VisualCrossing
19,,2025-05-19,16.4,21.1,0.0,53,34.0,False,VisualCrossing
20,,2025-05-20,9.4,20.3,0.0,50,23.1,False,VisualCrossing
21,,2025-05-21,11.0,13.7,6.416,83,25.2,False,VisualCrossing
22,,2025-05-22,10.5,13.1,16.094,92,20.2,False,VisualCrossing
23,,2025-05-23,10.7,18.5,1.012,70,30.1,False,VisualCrossing
24,,2025-05-24,10.0,18.2,0.716,54,30.1,False,VisualCrossing
25,,2025-05-25,11.4,21.3,0.0,50,23.1,False,VisualCrossing
26,,2025-05-26,11.4,23.1,0.0,54,16.1,False,VisualCrossing
27,,2025-05-27,13.0,22.5,0.0,61,20.8,False,VisualCrossing
28,,2025-05-28,11.6,15.8,16.798,86,22.0,False,VisualCrossing
29,,2025-05-29,13.8,22.6,1.896,80,19.3,False,VisualCrossing
30,,2025-05-30,17.2,25.4,0.586,77,15.3,False,VisualCrossing
31,,2025-05-31,13.1,22.6,23.307,74,35.5,False,VisualCrossing
32,,2025-06-01,10.7,20.9,0.0,51,28.4,False,VisualCrossing
33,,2025-06-02,11.9,23.2,0.0,49,19.4,False,VisualCrossing
34,,2025-06-03,13.2,27.7,0.0,51,16.6,False,VisualCrossing
35,,2025-06-04,15.0,30.8,0.0,62,20.8,False,VisualCrossing
36,,2025-06-05,18.7,30.4,0.0,67,20.4,False,VisualCrossing
37,,2025-06-06,20.2,29.5,0.0,69,23.1,False,VisualCrossing
38,,2025-06-07,20.5,26.7,4.214,89,13.7,False,VisualCrossing
39,,2025-06-08,17.1,22.9,0.317,87,24.7,False,VisualCrossing
40,,2025-06-09,17.0,22.7,0.854,91,19.9,False,VisualCrossing
41,,2025-06-10,17.9,28.2,2.639,80,21.4,False,VisualCrossing
42,,2025-06-11,19.1,28.8,0.0,54,19.3,False,VisualCrossing
43,,2025-06-12,19.7,32.6,0.0,60,22.6,False,VisualCrossing
44,,2025-06-13,22.0,26.9,0.0,52,19.3,False,VisualCrossing
45,,2025-06-14,16.9,21.5,1.806,81,19.9,False,VisualCrossing
46,,2025-06-15,15.0,17.6,9.626,92,21.0,False,VisualCrossing
47,,2025-06-16,16.0,19.2,0.839,92,19.6,False,VisualCrossing
48,,2025-06-17,17.1,24.8,0.047,86,11.8,False,VisualCrossing
49,,2025-06-18,20.9,29.3,1.818,87,17.7,False,VisualCrossing
50,,2025-06-19,22.2,33.0,8.084,82,27.9,False,VisualCrossing
51,,2025-06-20,19.4,29.2,0.0,58,28.6,False,VisualCrossing
52,,2025-06-21,22.7,32.2,0.0,57,21.3,False,VisualCrossing
53,,2025-06-22,23.9,31.2,0.993,72,32.1,False,VisualCrossing
54,,2025-06-23,25.0,36.9,0.0,62,16.8,False,VisualCrossing
55,,2025-06-24,27.6,37.7,0.0,52,17.1,False,VisualCrossing
56,,2025-06-25,26.0,36.5,2.519,57,40.2,False,VisualCrossing
57,,2025-06-26,19.2,32.1,2.103,70,27.1,False,VisualCrossing
58,,2025-06-27,17.8,21.3,0.512,84,22.9,False,VisualCrossing
59,,2025-06-28,17.7,31.1,0.6,82,18.3,False,VisualCrossing
60,,2025-06-29,24.8,33.2,0.0,70,15.4,False,VisualCrossing
61,,2025-06-30,24.5,33.2,16.296,80,14.9,False,VisualCrossing
62,,2025-07-01,23.2,32.3,21.59,86,19.5,False,VisualCrossing
63,,2025-07-02,22.7,30.6,2.05,80,17.8,False,VisualCrossing
64,,2025-07-03,21.7,32.6,2.137,65,27.7,False,VisualCrossing
65,,2025-07-04,19.8,29.1,0.0,55,15.8,False,VisualCrossing
66,,2025-07-05,18.9,31.0,0.0,56,15.1,False,VisualCrossing
67,,2025-07-06,21.7,31.5,0.0,62,18.4,False,VisualCrossing
68,,2025-07-07,24.8,31.9,0.813,81,13.3,False,VisualCrossing
69,,2025-07-08,23.7,34.3,24.426,78,34.7,False,VisualCrossing
70,,2025-07-09,22.5,32.1,18.816,76,21.7,False,VisualCrossing
71,,2025-07-10,21.8,29.0,0.378,80,9.2,False,VisualCrossing
72,,2025-07-11,23.2,31.0,0.0,80,15.4,False,VisualCrossing
73,,2025-07-12,23.8,31.9,0.0,77,14.6,False,VisualCrossing
74,,2025-07-13,23.8,31.7,0.0,76,19.1,False,VisualCrossing
75,,2025-07-14,23.7,31.5,5.412,83,18.2,False,VisualCrossing
76,,2025-07-15,23.6,30.9,1.281,81,12.2,False,VisualCrossing
77,,2025-07-16,24.8,32.4,0.0,78,21.9,False,VisualCrossing
78,,2025-07-17,23.7,34.4,4.568,73,33.7,False,VisualCrossing
79,,2025-07-18,25.4,29.5,0.0,57,19.8,False,VisualCrossing
80,,2025-07-19,23.5,26.8,0.816,83,19.8,False,VisualCrossing
81,,2025-07-20,24.2,31.9,0.0,76,24.6,False,VisualCrossing
82,,2025-07-21,22.6,30.4,0.0,54,20.0,False,VisualCrossing
83,,2025-07-22,19.3,29.1,0.0,58,20.7,False,VisualCrossing
84,,2025-07-23,20.1,29.1,0.0,65,16.1,False,VisualCrossing
85,,2025-07-24,20.5,31.5,0.0,64,22.0,False,VisualCrossing
86,,2025-07-25,24.2,35.9,9.888,70,29.3,False,VisualCrossing
87,,2025-07-26,23.8,30.5,0.041,68,21.9,False,VisualCrossing
88,,2025-07-27,22.1,32.1,9.434,84,30.5,False,VisualCrossing
89,,2025-07-28,24.9,34.3,0.0,67,15.5,False,VisualCrossing
90,,2025-07-29,26.2,36.3,0.0,62,15.6,False,VisualCrossing
91,,2025-07-30,25.5,35.0,0.0,63,18.2,False,VisualCrossing
92,,2025-07-31,21.3,32.9,16.584,83,25.3,False,VisualCrossing
93,,2025-08-01,18.6,22.8,0.0,81,27.6,False,VisualCrossing
94,,2025-08-02,18.0,27.8,0.0,64,11.8,False,VisualCrossing
95,,2025-08-03,18.1,28.6,0.0,57,13.8,False,VisualCrossing
96,,2025-08-04,18.5,31.0,0.0,55,10.7,False,VisualCrossing
97,,2025-08-05,20.5,28.8,0.0,66,15.3,False,VisualCrossing
98,,2025-08-06,21.6,25.8,0.0,75,19.9,False,VisualCrossing
99,,2025-08-07,19.6,28.0,0.0,64,21.1,False,VisualCrossing
100,,2025-08-08,17.0,28.9,0.0,63,16.6,False,VisualCrossing
