obs_id,location,observed_on,tmin_c,tmax_c,precip_mm,humidity_pct,wind_kph,frost_flag,source
1,,2025-05-01,15.5,19.1,0.0,65,18.3,False,VisualCrossing
2,,2025-05-02,16.5,19.1,0.0,69,24.6,False,VisualCrossing
3,,2025-05-03,15.8,18.1,0.004,77,16.0,False,VisualCrossing
4,,2025-05-04,13.7,16.8,1.144,76,23.5,False,VisualCrossing
5,,2025-05-05,13.6,17.6,1.049,76,17.7,False,VisualCrossing
6,,2025-05-06,13.5,19.0,0.0,71,18.4,False,VisualCrossing
7,,2025-05-07,15.6,21.0,0.0,70,25.7,False,VisualCrossing
8,,2025-05-08,16.5,20.9,0.0,76,22.0,False,VisualCrossing
9,,2025-05-09,16.6,23.1,0.0,78,22.0,False,VisualCrossing
10,,2025-05-10,15.4,28.9,0.0,70,20.3,False,VisualCrossing
11,,2025-05-11,17.5,24.8,0.0,75,15.0,False,VisualCrossing
12,,2025-05-12,17.0,20.5,0.0,72,17.8,False,VisualCrossing
13,,2025-05-13,15.4,19.2,1.349,64,19.7,False,VisualCrossing
14,,2025-05-14,14.1,19.9,0.0,67,22.4,False,VisualCrossing
15,,2025-05-15,15.5,19.1,0.0,70,16.8,False,VisualCrossing
16,,2025-05-16,14.3,21.1,0.0,71,17.7,False,VisualCrossing
17,,2025-05-17,15.5,17.1,0.417,73,21.4,False,VisualCrossing
18,,2025-05-18,15.9,20.2,0.0,72,18.1,False,VisualCrossing
19,,2025-05-19,15.3,21.7,0.0,73,21.1,False,VisualCrossing
20,,2025-05-20,15.6,25.7,0.0,72,16.0,False,VisualCrossing
21,,2025-05-21,16.3,22.6,0.0,80,16.9,False,VisualCrossing
22,,2025-05-22,16.1,20.4,0.0,79,17.8,False,VisualCrossing
23,,2025-05-23,16.1,19.8,0.0,75,18.0,False,VisualCrossing
24,,2025-05-24,15.6,18.9,0.0,69,19.5,False,VisualCrossing
25,,2025-05-25,16.1,19.3,0.0,67,20.4,False,VisualCrossing
26,,2025-05-26,16.6,19.9,0.0,70,16.1,False,VisualCrossing
27,,2025-05-27,16.6,19.3,0.0,72,19.8,False,VisualCrossing
28,,2025-05-28,16.6,18.8,0.0,75,22.0,False,VisualCrossing
29,,2025-05-29,16.1,20.0,0.0,76,13.2,False,VisualCrossing
30,,2025-05-30,17.2,22.1,0.0,77,22.4,False,VisualCrossing
31,,2025-05-31,17.2,23.1,0.0,81,17.0,False,VisualCrossing
32,,2025-06-01,18.6,27.5,0.0,80,16.6,False,VisualCrossing
33,,2025-06-02,17.6,21.2,0.0,81,17.1,False,VisualCrossing
34,,2025-06-03,16.1,19.9,0.0,83,18.4,False,VisualCrossing
35,,2025-06-04,15.1,19.4,0.008,80,18.1,False,VisualCrossing
36,,2025-06-05,16.7,18.9,0.0,81,16.8,False,VisualCrossing
37,,2025-06-06,16.2,19.4,0.0,80,16.1,False,VisualCrossing
38,,2025-06-07,16.7,19.9,0.242,81,19.3,False,VisualCrossing
39,,2025-06-08,16.7,19.3,0.0,82,18.2,False,VisualCrossing
40,,2025-06-09,16.2,19.8,0.0,82,15.4,False,VisualCrossing
