obs_id,location,observed_on,tmin_c,tmax_c,precip_mm,humidity_pct,wind_kph,frost_flag,source
1,,2025-05-01,7.2,23.9,0.0,63,10.9,False,VisualCrossing
2,,2025-05-02,11.2,20.7,0.0,62,18.4,False,VisualCrossing
3,,2025-05-03,8.0,12.8,1.72,72,16.1,False,VisualCrossing
4,,2025-05-04,6.0,15.8,0.0,60,15.8,False,VisualCrossing
5,,2025-05-05,6.7,20.2,0.0,52,15.4,False,VisualCrossing
6,,2025-05-06,8.5,25.2,0.0,45,11.7,False,VisualCrossing
7,,2025-05-07,10.7,19.1,0.0,57,19.9,False,VisualCrossing
8,,2025-05-08,7.5,16.8,0.0,54,21.2,False,VisualCrossing
9,,2025-05-09,7.9,20.8,0.0,51,13.5,False,VisualCrossing
10,,2025-05-10,10.6,17.3,0.0,52,17.9,False,VisualCrossing
11,,2025-05-11,10.7,16.5,0.09,67,18.8,False,VisualCrossing
12,,2025-05-12,8.7,18.7,0.0,67,20.2,False,VisualCrossing
13,,2025-05-13,10.5,15.7,0.0,72,16.9,False,VisualCrossing
14,,2025-05-14,9.4,16.0,0.472,70,17.1,False,VisualCrossing
15,,2025-05-15,7.3,13.2,1.555,72,17.9,False,VisualCrossing
16,,2025-05-16,9.3,15.6,0.0,80,13.2,False,VisualCrossing
17,,2025-05-17,10.9,13.9,10.09,88,18.0,False,VisualCrossing
18,,2025-05-18,8.7,16.3,0.0,60,15.3,False,VisualCrossing
19,,2025-05-19,9.1,16.4,4.069,72,25.2,False,VisualCrossing
20,,2025-05-20,9.4,15.2,0.0,68,24.9,False,VisualCrossing
21,,2025-05-21,10.0,16.7,0.0,62,16.6,False,VisualCrossing
22,,2025-05-22,9.9,19.9,0.579,58,12.9,False,VisualCrossing
23,,2025-05-23,10.8,19.0,0.0,60,13.7,False,VisualCrossing
24,,2025-05-24,9.7,24.4,0.0,53,12.9,False,VisualCrossing
25,,2025-05-25,10.9,20.1,0.0,58,18.3,False,VisualCrossing
26,,2025-05-26,12.7,19.3,0.803,65,19.1,False,VisualCrossing
27,,2025-05-27,10.0,22.5,0.0,55,18.6,False,VisualCrossing
28,,2025-05-28,13.1,27.8,0.0,49,20.8,False,VisualCrossing
29,,2025-05-29,13.4,19.5,1.522,71,20.0,False,VisualCrossing
30,,2025-05-30,10.4,24.2,0.0,53,13.3,False,VisualCrossing
31,,2025-05-31,11.7,17.5,1.798,64,15.8,False,VisualCrossing
32,,2025-06-01,9.8,18.9,0.0,59,16.3,False,VisualCrossing
33,,2025-06-02,9.1,21.2,0.0,55,14.4,False,VisualCrossing
34,,2025-06-03,10.6,23.2,0.0,52,11.4,False,VisualCrossing
35,,2025-06-04,13.5,19.8,0.0,67,15.2,False,VisualCrossing
36,,2025-06-05,11.9,24.3,0.0,66,17.1,False,VisualCrossing
37,,2025-06-06,15.1,25.6,0.0,57,14.8,False,VisualCrossing
38,,2025-06-07,13.8,26.4,0.0,58,22.5,False,VisualCrossing
39,,2025-06-08,17.0,30.6,0.0,51,16.9,False,VisualCrossing
40,,2025-06-09,17.1,29.9,0.0,48,14.8,False,VisualCrossing
41,,2025-06-10,13.3,27.1,0.0,52,11.4,False,VisualCrossing
42,,2025-06-11,11.9,20.5,0.0,65,18.7,False,VisualCrossing
43,,2025-06-12,11.5,17.7,0.0,65,15.9,False,VisualCrossing
44,,2025-06-13,11.1,16.4,0.0,65,14.4,False,VisualCrossing
45,,2025-06-14,11.1,19.2,0.0,58,12.8,False,VisualCrossing
46,,2025-06-15,11.3,21.6,0.0,58,15.3,False,VisualCrossing
47,,2025-06-16,11.5,22.3,0.0,56,12.6,False,VisualCrossing
48,,2025-06-17,11.1,22.3,0.0,54,16.3,False,VisualCrossing
49,,2025-06-18,15.4,20.7,0.0,60,27.0,False,VisualCrossing
50,,2025-06-19,11.9,20.0,0.0,54,16.6,False,VisualCrossing
51,,2025-06-20,11.9,17.8,0.0,64,20.5,False,VisualCrossing
52,,2025-06-21,10.9,15.5,4.141,83,20.5,False,VisualCrossing
53,,2025-06-22,12.8,20.0,0.152,72,12.8,False,VisualCrossing
54,,2025-06-23,12.1,23.9,0.0,62,12.8,False,VisualCrossing
55,,2025-06-24,13.3,25.7,0.0,63,13.7,False,VisualCrossing
56,,2025-06-25,13.1,22.1,0.0,65,18.0,False,VisualCrossing
57,,2025-06-26,13.7,19.3,0.987,74,17.8,False,VisualCrossing
58,,2025-06-27,13.7,19.4,0.0,72,15.4,False,VisualCrossing
59,,2025-06-28,13.8,23.7,0.0,68,14.8,False,VisualCrossing
60,,2025-06-29,13.8,25.4,0.0,59,18.1,False,VisualCrossing
61,,2025-06-30,16.3,29.6,0.0,50,19.8,False,VisualCrossing
62,,2025-07-01,16.1,29.5,0.0,51,20.5,False,VisualCrossing
