obs_id,location,observed_on,tmin_c,tmax_c,precip_mm,humidity_pct,wind_kph,frost_flag,source
1,,2025-05-01,11.1,17.8,0.0,76,27.4,False,VisualCrossing
2,,2025-05-02,10.6,16.1,0.126,74,33.6,False,VisualCrossing
3,,2025-05-03,11.3,16.5,0.05,74,39.0,False,VisualCrossing
4,,2025-05-04,9.5,18.3,0.0,68,26.7,False,VisualCrossing
5,,2025-05-05,12.5,28.0,0.0,41,28.7,False,VisualCrossing
6,,2025-05-06,12.5,21.0,0.0,67,25.4,False,VisualCrossing
7,,2025-05-07,11.3,18.9,0.0,70,29.1,False,VisualCrossing
8,,2025-05-08,10.7,22.5,0.0,71,28.3,False,VisualCrossing
9,,2025-05-09,11.1,26.3,0.0,63,27.8,False,VisualCrossing
10,,2025-05-10,12.0,20.9,0.0,64,32.4,False,VisualCrossing
11,,2025-05-11,11.9,17.5,0.0,68,30.6,False,VisualCrossing
12,,2025-05-12,12.1,17.3,4.154,71,25.8,False,VisualCrossing
13,,2025-05-13,11.7,19.0,0.0,69,32.8,False,VisualCrossing
14,,2025-05-14,11.5,19.6,0.0,71,27.6,False,VisualCrossing
15,,2025-05-15,11.5,21.0,0.0,70,31.6,False,VisualCrossing
16,,2025-05-16,11.5,19.1,0.0,71,34.2,False,VisualCrossing
17,,2025-05-17,12.0,17.7,0.0,74,50.9,False,VisualCrossing
18,,2025-05-18,10.1,19.9,0.0,67,37.1,False,VisualCrossing
19,,2025-05-19,11.3,21.7,0.0,68,41.6,False,VisualCrossing
20,,2025-05-20,11.4,19.5,0.0,69,32.1,False,VisualCrossing
21,,2025-05-21,10.1,22.8,0.0,67,38.6,False,VisualCrossing
22,,2025-05-22,11.6,18.5,0.0,68,37.3,False,VisualCrossing
23,,2025-05-23,11.7,16.1,0.0,73,31.9,False,VisualCrossing
24,,2025-05-24,11.7,15.8,0.0,75,30.4,False,VisualCrossing
25,,2025-05-25,12.0,18.0,0.0,72,34.2,False,VisualCrossing
26,,2025-05-26,12.8,17.8,0.0,78,31.0,False,VisualCrossing
27,,2025-05-27,12.2,19.8,0.0,75,34.7,False,VisualCrossing
28,,2025-05-28,12.3,17.3,0.0,77,35.5,False,VisualCrossing
29,,2025-05-29,12.5,21.2,0.0,74,33.0,False,VisualCrossing
30,,2025-05-30,11.9,26.8,0.0,73,27.9,False,VisualCrossing
31,,2025-05-31,13.1,24.3,0.0,68,28.3,False,VisualCrossing
32,,2025-06-01,13.0,17.8,0.0,73,33.1,False,VisualCrossing
33,,2025-06-02,12.4,21.5,0.0,69,30.4,False,VisualCrossing
34,,2025-06-03,13.4,20.8,0.0,72,29.8,False,VisualCrossing
35,,2025-06-04,12.7,20.0,0.0,76,30.3,False,VisualCrossing
36,,2025-06-05,13.7,21.0,0.0,71,25.1,False,VisualCrossing
37,,2025-06-06,14.0,20.8,0.0,73,30.9,False,VisualCrossing
38,,2025-06-07,13.5,19.0,0.0,78,35.3,False,VisualCrossing
39,,2025-06-08,13.0,19.0,0.0,77,30.3,False,VisualCrossing
40,,2025-06-09,12.7,17.6,0.0,83,29.4,False,VisualCrossing
41,,2025-06-10,13.0,17.5,0.0,82,27.4,False,VisualCrossing
42,,2025-06-11,12.4,16.2,0.0,71,33.5,False,VisualCrossing
43,,2025-06-12,12.3,16.3,0.0,66,28.8,False,VisualCrossing
44,,2025-06-13,11.3,18.0,0.0,66,27.6,False,VisualCrossing
45,,2025-06-14,10.7,18.3,0.0,62,27.0,False,VisualCrossing
46,,2025-06-15,10.1,18.8,0.0,65,33.6,False,VisualCrossing
47,,2025-06-16,11.5,17.3,0.0,65,28.7,False,VisualCrossing
48,,2025-06-17,11.7,19.8,0.0,60,29.8,False,VisualCrossing
