obs_id,location,observed_on,tmin_c,tmax_c,precip_mm,humidity_pct,wind_kph,frost_flag,source
1,,2025-05-01,23.2,28.2,0.014,79,37.7,False,VisualCrossing
2,,2025-05-02,20.0,28.5,2.064,77,33.7,False,VisualCrossing
3,,2025-05-03,18.2,26.0,0.23,62,26.7,False,VisualCrossing
4,,2025-05-04,16.0,27.0,0.0,48,22.2,False,VisualCrossing
5,,2025-05-05,18.0,24.3,1.933,75,40.8,False,VisualCrossing
6,,2025-05-06,19.1,27.2,1.112,90,36.8,False,VisualCrossing
7,,2025-05-07,20.1,28.1,0.393,81,23.2,False,VisualCrossing
8,,2025-05-08,20.7,29.2,0.223,75,25.6,False,VisualCrossing
9,,2025-05-09,19.2,27.1,2.146,67,26.4,False,VisualCrossing
10,,2025-05-10,18.1,26.2,0.0,63,28.3,False,VisualCrossing
11,,2025-05-11,17.1,26.0,0.0,51,31.3,False,VisualCrossing
12,,2025-05-12,16.1,29.0,0.0,62,24.4,False,VisualCrossing
13,,2025-05-13,21.0,32.2,0.0,74,32.3,False,VisualCrossing
14,,2025-05-14,23.1,32.3,0.0,71,34.7,False,VisualCrossing
15,,2025-05-15,24.1,32.3,0.0,81,36.3,False,VisualCrossing
16,,2025-05-16,25.2,31.3,0.0,80,35.4,False,VisualCrossing
17,,2025-05-17,25.1,32.1,0.0,78,32.0,False,VisualCrossing
18,,2025-05-18,26.1,31.2,0.0,78,38.8,False,VisualCrossing
19,,2025-05-19,25.2,30.3,0.0,80,42.9,False,VisualCrossing
20,,2025-05-20,26.1,33.1,0.0,79,31.7,False,VisualCrossing
21,,2025-05-21,24.2,29.0,0.0,64,30.3,False,VisualCrossing
22,,2025-05-22,24.2,32.1,0.0,76,24.2,False,VisualCrossing
23,,2025-05-23,25.0,33.5,0.0,78,33.7,False,VisualCrossing
24,,2025-05-24,26.1,33.1,0.0,78,39.3,False,VisualCrossing
25,,2025-05-25,26.2,32.2,0.0,77,33.7,False,VisualCrossing
26,,2025-05-26,22.2,29.8,0.739,82,30.3,False,VisualCrossing
27,,2025-05-27,19.2,31.1,5.4,77,28.9,False,VisualCrossing
28,,2025-05-28,21.2,27.0,1.197,86,34.0,False,VisualCrossing
29,,2025-05-29,21.2,32.8,0.0,74,15.9,False,VisualCrossing
30,,2025-05-30,23.1,29.2,0.369,83,30.4,False,VisualCrossing
31,,2025-05-31,24.0,31.0,0.0,72,20.9,False,VisualCrossing
32,,2025-06-01,23.9,32.1,0.014,75,22.2,False,VisualCrossing
33,,2025-06-02,25.0,33.0,0.0,72,26.8,False,VisualCrossing
34,,2025-06-03,24.9,31.1,0.249,75,37.5,False,VisualCrossing
35,,2025-06-04,25.2,31.2,0.0,82,22.4,False,VisualCrossing
36,,2025-06-05,25.1,33.0,0.677,76,28.5,False,VisualCrossing
37,,2025-06-06,26.0,33.2,0.0,76,29.7,False,VisualCrossing
38,,2025-06-07,26.0,33.1,0.0,74,31.7,False,VisualCrossing
39,,2025-06-08,26.1,34.1,0.0,75,27.5,False,VisualCrossing
40,,2025-06-09,21.2,32.1,3.292,78,28.3,False,VisualCrossing
41,,2025-06-10,26.0,32.9,0.0,76,24.8,False,VisualCrossing
42,,2025-06-11,22.2,28.0,13.435,89,23.2,False,VisualCrossing
43,,2025-06-12,20.2,26.0,5.892,88,25.3,False,VisualCrossing
44,,2025-06-13,24.0,30.9,0.671,82,29.3,False,VisualCrossing
45,,2025-06-14,22.3,30.2,1.605,81,35.9,False,VisualCrossing
46,,2025-06-15,22.1,31.3,3.343,86,26.6,False,VisualCrossing
47,,2025-06-16,23.9,32.0,0.322,81,19.8,False,VisualCrossing
48,,2025-06-17,25.0,32.3,0.0,77,30.9,False,VisualCrossing
49,,2025-06-18,26.1,32.2,0.0,75,39.5,False,VisualCrossing
50,,2025-06-19,27.0,33.1,0.07,78,27.1,False,VisualCrossing
51,,2025-06-20,26.1,33.2,0.0,75,29.9,False,VisualCrossing
52,,2025-06-21,26.1,33.2,0.0,71,31.6,False,VisualCrossing
53,,2025-06-22,26.1,32.3,0.0,74,34.0,False,VisualCrossing
54,,2025-06-23,26.0,33.8,1.643,75,26.5,False,VisualCrossing
55,,2025-06-24,26.0,33.0,0.03,74,30.9,False,VisualCrossing
56,,2025-06-25,24.2,29.0,1.151,86,21.4,False,VisualCrossing
57,,2025-06-26,24.1,32.2,0.351,81,30.2,False,VisualCrossing
58,,2025-06-27,25.0,32.0,1.778,76,24.1,False,VisualCrossing
59,,2025-06-28,25.8,32.2,1.871,72,27.8,False,VisualCrossing
60,,2025-06-29,25.8,30.1,1.664,82,26.6,False,VisualCrossing
61,,2025-06-30,24.9,32.2,0.099,79,22.7,False,VisualCrossing
62,,2025-07-01,24.1,35.0,0.0,70,21.5,False,VisualCrossing
63,,2025-07-02,25.9,35.0,0.0,67,23.5,False,VisualCrossing
64,,2025-07-03,24.1,32.1,4.119,84,38.6,False,VisualCrossing
65,,2025-07-04,25.2,31.1,0.218,82,27.6,False,VisualCrossing
66,,2025-07-05,27.1,32.2,0.0,75,29.3,False,VisualCrossing
67,,2025-07-06,25.9,33.2,0.0,70,28.5,False,VisualCrossing
68,,2025-07-07,26.1,32.2,0.0,75,21.3,False,VisualCrossing
69,,2025-07-08,23.2,30.9,2.079,83,30.9,False,VisualCrossing
70,,2025-07-09,23.9,30.7,0.049,82,22.2,False,VisualCrossing
71,,2025-07-10,25.0,33.2,0.0,72,23.3,False,VisualCrossing
72,,2025-07-11,26.1,31.5,0.516,82,46.4,False,VisualCrossing
73,,2025-07-12,26.1,33.2,0.014,75,37.3,False,VisualCrossing
74,,2025-07-13,26.0,32.9,1.31,79,24.9,False,VisualCrossing
75,,2025-07-14,26.0,32.9,0.313,77,20.6,False,VisualCrossing
76,,2025-07-15,25.2,34.1,0.0,72,31.1,False,VisualCrossing
77,,2025-07-16,26.1,34.1,0.0,71,28.1,False,VisualCrossing
78,,2025-07-17,25.8,32.1,0.0,71,14.3,False,VisualCrossing
79,,2025-07-18,26.6,32.7,0.0,77,20.0,False,VisualCrossing
80,,2025-07-19,26.9,33.7,0.0,74,26.3,False,VisualCrossing
81,,2025-07-20,27.0,34.1,0.0,72,23.1,False,VisualCrossing
82,,2025-07-21,26.7,34.2,0.0,72,30.3,False,VisualCrossing
83,,2025-07-22,26.9,36.5,0.0,69,28.7,False,VisualCrossing
84,,2025-07-23,25.8,35.2,0.0,69,31.3,False,VisualCrossing
