obs_id,location,observed_on,tmin_c,tmax_c,precip_mm,humidity_pct,wind_kph,frost_flag,source
1,,2025-05-01,14.6,21.4,6.983,84,39.8,False,VisualCrossing
2,,2025-05-02,12.8,20.7,0.918,72,24.7,False,VisualCrossing
3,,2025-05-03,9.2,14.9,0.0,73,29.9,False,VisualCrossing
4,,2025-05-04,7.7,10.4,5.912,81,34.7,False,VisualCrossing
5,,2025-05-05,8.7,15.6,0.679,84,21.1,False,VisualCrossing
6,,2025-05-06,6.8,22.8,0.047,71,22.0,False,VisualCrossing
7,,2025-05-07,10.4,26.9,0.0,60,15.7,False,VisualCrossing
8,,2025-05-08,9.9,24.7,0.0,64,34.7,False,VisualCrossing
9,,2025-05-09,6.8,21.5,0.0,49,24.7,False,VisualCrossing
10,,2025-05-10,7.5,28.4,0.0,35,29.2,False,VisualCrossing
11,,2025-05-11,8.1,28.1,0.0,44,22.6,False,VisualCrossing
12,,2025-05-12,15.4,25.2,3.336,71,20.8,False,VisualCrossing
13,,2025-05-13,15.6,26.2,0.899,82,16.0,False,VisualCrossing
14,,2025-05-14,15.1,28.9,0.0,69,24.4,False,VisualCrossing
15,,2025-05-15,19.2,33.6,2.99,70,46.5,False,VisualCrossing
16,,2025-05-16,14.4,30.5,3.435,64,46.2,False,VisualCrossing
17,,2025-05-17,13.0,22.7,0.0,55,38.9,False,VisualCrossing
18,,2025-05-18,8.9,25.4,0.0,56,21.7,False,VisualCrossing
19,,2025-05-19,12.0,25.3,0.0,53,34.1,False,VisualCrossing
20,,2025-05-20,14.7,24.2,31.641,82,41.7,False,VisualCrossing
21,,2025-05-21,12.0,17.1,0.252,84,45.2,False,VisualCrossing
22,,2025-05-22,9.7,14.4,0.586,82,30.0,False,VisualCrossing
23,,2025-05-23,6.3,21.0,0.0,66,29.9,False,VisualCrossing
24,,2025-05-24,10.3,22.6,0.0,54,24.2,False,VisualCrossing
25,,2025-05-25,12.9,19.2,0.079,62,20.2,False,VisualCrossing
26,,2025-05-26,9.8,23.0,0.0,48,28.7,False,VisualCrossing
27,,2025-05-27,14.2,23.3,0.0,53,21.7,False,VisualCrossing
28,,2025-05-28,14.5,20.6,5.247,79,17.5,False,VisualCrossing
29,,2025-05-29,11.7,19.9,0.0,81,9.4,False,VisualCrossing
30,,2025-05-30,13.6,26.5,0.0,60,33.0,False,VisualCrossing
31,,2025-05-31,13.8,25.6,0.0,50,26.6,False,VisualCrossing
32,,2025-06-01,10.2,25.5,0.0,36,15.5,False,VisualCrossing
33,,2025-06-02,10.7,29.8,0.0,43,24.4,False,VisualCrossing
34,,2025-06-03,17.9,32.9,0.0,53,46.2,False,VisualCrossing
35,,2025-06-04,17.5,23.9,22.452,82,29.6,False,VisualCrossing
36,,2025-06-05,15.9,24.1,0.647,86,19.9,False,VisualCrossing
37,,2025-06-06,15.6,23.0,0.253,84,11.8,False,VisualCrossing
38,,2025-06-07,14.2,24.8,2.073,78,17.8,False,VisualCrossing
39,,2025-06-08,16.5,26.9,0.949,76,26.0,False,VisualCrossing
40,,2025-06-09,14.2,26.8,0.0,64,36.2,False,VisualCrossing
41,,2025-06-10,11.1,25.9,0.0,62,23.6,False,VisualCrossing
